model,dataset,size,method,norm_cross_entropy:value:median
lm_llama3,20newsgroups,small,lora+affine_scalar_train_on_val,0.6767682579411161
lm_llama3,20newsgroups,small,lora+no_calibration,0.8944581045722825
lm_llama3,20newsgroups,large,no_adaptation+affine_scalar,0.3769099959367049
lm_llama3,20newsgroups,small,no_adaptation+affine_scalar,0.4742385712245082
lm_llama3,agnews,large,lora+affine_scalar_train_on_val,0.2025052906000449
lm_llama3,agnews,small,lora+affine_scalar_train_on_val,0.8026277932223074
lm_llama3,agnews,large,lora+no_calibration,0.2453325542298391
lm_llama3,agnews,small,lora+no_calibration,0.4068258877992883
lm_llama3,agnews,large,no_adaptation+affine_scalar,0.4207823114619777
lm_llama3,agnews,small,no_adaptation+affine_scalar,0.5088298855771948
lm_llama3,banking77,large,lora+affine_scalar_train_on_val,0.0913062152735096
lm_llama3,banking77,small,lora+affine_scalar_train_on_val,0.5417302678611116
lm_llama3,banking77,large,lora+no_calibration,0.1653809430105919
lm_llama3,banking77,small,lora+no_calibration,0.8665468776402451
lm_llama3,banking77,large,no_adaptation+affine_scalar,0.2773031401496334
lm_llama3,banking77,small,no_adaptation+affine_scalar,0.5204362488476207
lm_llama3,dbpedia,large,lora+affine_scalar_train_on_val,0.020222181750255
lm_llama3,dbpedia,small,lora+affine_scalar_train_on_val,0.2706099620240897
lm_llama3,dbpedia,large,lora+no_calibration,0.1111814119256121
lm_llama3,dbpedia,small,lora+no_calibration,0.3887377163624178
lm_llama3,dbpedia,large,no_adaptation+affine_scalar,0.2325143514895877
lm_llama3,dbpedia,small,no_adaptation+affine_scalar,0.4505510159225835
lm_llama3,sst2,large,lora+affine_scalar_train_on_val,0.2064210703280461
lm_llama3,sst2,small,lora+affine_scalar_train_on_val,0.7119366654435814
lm_llama3,sst2,large,lora+no_calibration,0.2512574717698167
lm_llama3,sst2,small,lora+no_calibration,0.3983950178262396
lm_llama3,sst2,large,no_adaptation+affine_scalar,0.4753622827320718
lm_llama3,sst2,small,no_adaptation+affine_scalar,0.5740330701763382
lm_phi3,20newsgroups,large,lora+affine_scalar_train_on_val,0.3352714292422313
lm_phi3,20newsgroups,small,lora+affine_scalar_train_on_val,0.6673783785993774
lm_phi3,20newsgroups,large,lora+no_calibration,0.3733585470049672
lm_phi3,20newsgroups,small,lora+no_calibration,0.7526061996284493
lm_phi3,20newsgroups,large,no_adaptation+affine_scalar,0.4300771077590603
lm_phi3,20newsgroups,small,no_adaptation+affine_scalar,0.5393316238592509
lm_phi3,agnews,large,lora+affine_scalar_train_on_val,0.2397853408321899
lm_phi3,agnews,small,lora+affine_scalar_train_on_val,2.1251680382425806
lm_phi3,agnews,large,lora+no_calibration,0.2477458256227243
lm_phi3,agnews,small,lora+no_calibration,0.5636290251735625
lm_phi3,agnews,large,no_adaptation+affine_scalar,0.4373900427951174
lm_phi3,agnews,small,no_adaptation+affine_scalar,0.5549576349154001
lm_phi3,banking77,large,lora+affine_scalar_train_on_val,0.0991046470188247
lm_phi3,banking77,small,lora+affine_scalar_train_on_val,0.582589132031033
lm_phi3,banking77,large,lora+no_calibration,0.1152193066890463
lm_phi3,banking77,small,lora+no_calibration,1.0081798657921486
lm_phi3,banking77,large,no_adaptation+affine_scalar,0.2929303221895678
lm_phi3,banking77,small,no_adaptation+affine_scalar,0.5370344052857312
lm_phi3,dbpedia,large,lora+affine_scalar_train_on_val,0.0271883696332813
lm_phi3,dbpedia,small,lora+affine_scalar_train_on_val,0.4452657846886205
lm_phi3,dbpedia,large,lora+no_calibration,0.0322200286230406
lm_phi3,dbpedia,small,lora+no_calibration,0.4233919100161968
lm_phi3,dbpedia,large,no_adaptation+affine_scalar,0.1798506999885433
lm_phi3,dbpedia,small,no_adaptation+affine_scalar,0.3156351958780059
lm_phi3,sst2,large,lora+affine_scalar_train_on_val,0.2272447342436989
lm_phi3,sst2,small,lora+affine_scalar_train_on_val,0.4904951483531491
lm_phi3,sst2,large,lora+no_calibration,0.2348405526738925
lm_phi3,sst2,small,lora+no_calibration,0.3181134076646489
lm_phi3,sst2,large,no_adaptation+affine_scalar,0.2998190069832321
lm_phi3,sst2,small,no_adaptation+affine_scalar,0.4515548469863408
lm_tinyllama,20newsgroups,large,lora+affine_scalar_train_on_val,0.3439267958579595
lm_tinyllama,20newsgroups,small,lora+affine_scalar_train_on_val,0.6410750140247773
lm_tinyllama,20newsgroups,large,lora+no_calibration,0.3756162979730326
lm_tinyllama,20newsgroups,small,lora+no_calibration,0.7288684902244865
lm_tinyllama,20newsgroups,large,no_adaptation+affine_scalar,0.4407910925909353
lm_tinyllama,20newsgroups,small,no_adaptation+affine_scalar,0.5424709953510387
lm_tinyllama,agnews,large,lora+affine_scalar_train_on_val,0.2208742638869493
lm_tinyllama,agnews,small,lora+affine_scalar_train_on_val,0.578569628787133
lm_tinyllama,agnews,large,lora+no_calibration,0.2321638871673189
lm_tinyllama,agnews,small,lora+no_calibration,0.4601041731969117
lm_tinyllama,agnews,large,no_adaptation+affine_scalar,0.390324871048344
lm_tinyllama,agnews,small,no_adaptation+affine_scalar,0.4787969797814211
lm_tinyllama,banking77,large,lora+affine_scalar_train_on_val,0.1149251112441555
lm_tinyllama,banking77,small,lora+affine_scalar_train_on_val,0.6412888073604154
lm_tinyllama,banking77,large,lora+no_calibration,0.133248508126286
lm_tinyllama,banking77,small,lora+no_calibration,1.0155666345025391
lm_tinyllama,banking77,large,no_adaptation+affine_scalar,0.3620043230958211
lm_tinyllama,banking77,small,no_adaptation+affine_scalar,0.644159551085153
lm_tinyllama,dbpedia,large,lora+affine_scalar_train_on_val,0.0232335643965417
lm_tinyllama,dbpedia,small,lora+affine_scalar_train_on_val,0.8323274437999055
lm_tinyllama,dbpedia,large,lora+no_calibration,0.0249462259116011
lm_tinyllama,dbpedia,small,lora+no_calibration,0.7893598888910093
lm_tinyllama,dbpedia,large,no_adaptation+affine_scalar,0.1595589814736401
lm_tinyllama,dbpedia,small,no_adaptation+affine_scalar,0.394351993388486
lm_tinyllama,sst2,large,lora+affine_scalar_train_on_val,0.28596129086308
lm_tinyllama,sst2,small,lora+affine_scalar_train_on_val,0.7871451023957368
lm_tinyllama,sst2,large,lora+no_calibration,0.2853561785568124
lm_tinyllama,sst2,small,lora+no_calibration,0.638618410580428
lm_tinyllama,sst2,large,no_adaptation+affine_scalar,0.5444260457856414
lm_tinyllama,sst2,small,no_adaptation+affine_scalar,0.6085816615064968
roberta_base,agnews,large,full_ft+no_calibration,0.2377168815131284
roberta_base,agnews,small,full_ft+no_calibration,0.962990995664018
roberta_base,banking77,large,full_ft+no_calibration,0.0917978348830396
roberta_base,banking77,small,full_ft+no_calibration,1.008016012215854
roberta_base,dbpedia,large,full_ft+no_calibration,0.0279566708282005
roberta_base,dbpedia,small,full_ft+no_calibration,0.6562707016642121
roberta_base,sst2,large,full_ft+no_calibration,0.4310506139836273
roberta_base,sst2,small,full_ft+no_calibration,1.0020084095317536
