dataset,size,num_samples,prompt,n_shots,model,base_method,cal_method,split,norm_error_rate:values,norm_error_rate,norm_error_rate:mean,norm_error_rate:median,norm_error_rate:std,norm_error_rate:Q1,norm_error_rate:Q3,norm_cross_entropy:values,norm_cross_entropy,norm_cross_entropy:mean,norm_cross_entropy:median,norm_cross_entropy:std,norm_cross_entropy:Q1,norm_cross_entropy:Q3,ece:values,ece,ece:mean,ece:median,ece:std,ece:Q1,ece:Q3
sst2,16,32,basic_sst2_0-shot_litgpt,0,lm_llama3,no_adaptation,no_calibration,test,[0.95794393 0.95794393],0.958 ± 0.000,0.9579439252336449,0.9579439252336449,0.0,0.9579439252336449,0.9579439252336449,[1.04728649 1.04698837],1.047 ± 0.000,1.0471374322075664,1.0471374322075664,0.00014905743187110243,1.047062903491631,1.047211960923502,[0.29617934 0.29704305],0.297 ± 0.000,0.2966111915027121,0.2966111915027121,0.0004318547038990872,0.29639526415076256,0.2968271188546617
sst2,16,32,basic_sst2_0-shot_litgpt,0,lm_llama3,no_adaptation,affine_scalar,test,[0.29906542 0.28504673],0.292 ± 0.007,0.29205607476635514,0.29205607476635514,0.007009345794392552,0.28855140186915884,0.29556074766355145,[0.55044988 0.56968081],0.560 ± 0.010,0.5600653441298751,0.5600653441298751,0.00961546435732552,0.5552576119512123,0.5648730763085379,[0.08626074 0.12147579],0.104 ± 0.018,0.10386826561162535,0.10386826561162535,0.017607527589453033,0.09506450181689884,0.11267202940635188
sst2,16,32,basic_sst2_0-shot_litgpt,0,lm_llama3,no_adaptation,temp_scaling,test,[0.95794393 0.95794393],0.958 ± 0.000,0.9579439252336449,0.9579439252336449,0.0,0.9579439252336449,0.9579439252336449,[0.9083066  0.91433815],0.911 ± 0.003,0.9113223724567573,0.9113223724567573,0.0030157728151265495,0.909814486049194,0.9128302588643206,[0.24484721 0.30104542],0.273 ± 0.028,0.27294631517500034,0.27294631517500034,0.028099105737698207,0.2588967623061512,0.2869958680438494
sst2,16,32,basic_sst2_0-shot_litgpt,0,lm_llama3,no_adaptation,bias_only,test,[0.29906542 0.26635514],0.283 ± 0.016,0.2827102803738318,0.2827102803738318,0.016355140186915917,0.27453271028037385,0.2908878504672897,[0.65564362 0.63953508],0.648 ± 0.008,0.6475893513395059,0.6475893513395059,0.008054267886068889,0.6435622173964715,0.6516164852825403,[0.16916543 0.19223104],0.181 ± 0.012,0.18069823492691572,0.18069823492691572,0.011532805752444836,0.1749318320506933,0.18646463780313816
sst2,16,32,basic_sst2_0-shot_litgpt,0,lm_llama3,lora,no_calibration,test,[0.10747664 0.10280374],0.105 ± 0.002,0.10514018691588786,0.10514018691588786,0.0023364485981308414,0.10397196261682244,0.10630841121495328,[0.25473966 0.26233347],0.259 ± 0.004,0.25853656525046187,0.25853656525046187,0.0037969015844815657,0.2566381144582211,0.2604350160427027,[0.02829254 0.02968635],0.029 ± 0.001,0.028989446536944907,0.028989446536944907,0.0006969059552869635,0.028640993559301425,0.029337899514588386
sst2,16,32,basic_sst2_0-shot_litgpt,0,lm_llama3,lora,affine_scalar_train_on_val,test,0.11448598130841123,0.114 ± 0.000,0.11448598130841123,0.11448598130841123,0.0,0.11448598130841123,0.11448598130841123,0.29315248780347525,0.293 ± 0.000,0.29315248780347525,0.29315248780347525,0.0,0.29315248780347525,0.29315248780347525,0.03524749914578168,0.035 ± 0.000,0.03524749914578168,0.03524749914578168,0.0,0.03524749914578168,0.03524749914578168
sst2,256,512,basic_sst2_0-shot_litgpt,0,lm_llama3,no_adaptation,no_calibration,test,[0.95794393 0.95794393],0.958 ± 0.000,0.9579439252336449,0.9579439252336449,0.0,0.9579439252336449,0.9579439252336449,[1.04728649 1.04698837],1.047 ± 0.000,1.0471374322075664,1.0471374322075664,0.00014905743187110243,1.047062903491631,1.047211960923502,[0.29617934 0.29704305],0.297 ± 0.000,0.2966111915027121,0.2966111915027121,0.0004318547038990872,0.29639526415076256,0.2968271188546617
sst2,256,512,basic_sst2_0-shot_litgpt,0,lm_llama3,no_adaptation,affine_scalar,test,[0.27570093 0.27570093],0.276 ± 0.000,0.2757009345794392,0.2757009345794392,0.0,0.2757009345794392,0.2757009345794392,[0.46609434 0.46085974],0.463 ± 0.003,0.4634770407678228,0.4634770407678228,0.0026173031091946963,0.4621683892132255,0.4647856923224202,[0.01601209 0.01787423],0.017 ± 0.001,0.016943159910506142,0.016943159910506142,0.0009310673870902651,0.01647762621696101,0.017408693604051277
sst2,256,512,basic_sst2_0-shot_litgpt,0,lm_llama3,no_adaptation,temp_scaling,test,[0.95794393 0.95794393],0.958 ± 0.000,0.9579439252336449,0.9579439252336449,0.0,0.9579439252336449,0.9579439252336449,[0.89774898 0.89733354],0.898 ± 0.000,0.8975412583219664,0.8975412583219664,0.0002077224359449681,0.897437397103994,0.897645119539939,[0.28732667 0.28578723],0.287 ± 0.001,0.2865569478253157,0.2865569478253157,0.0007697188240627373,0.28617208841328434,0.2869418072373471
sst2,256,512,basic_sst2_0-shot_litgpt,0,lm_llama3,no_adaptation,bias_only,test,[0.26401869 0.26635514],0.265 ± 0.001,0.2651869158878505,0.2651869158878505,0.0011682242990654068,0.26460280373831774,0.2657710280373832,[0.64044082 0.63951018],0.640 ± 0.000,0.6399755009777356,0.6399755009777356,0.00046532080318828495,0.6397428405761414,0.6402081613793298,[0.19401578 0.19217982],0.193 ± 0.001,0.1930978011606035,0.1930978011606035,0.0009179806589313666,0.19263881083113782,0.19355679149006916
