dataset,size,num_samples,prompt,n_shots,model,base_method,cal_method,split,norm_error_rate:values,norm_error_rate,norm_error_rate:mean,norm_error_rate:median,norm_error_rate:std,norm_error_rate:Q1,norm_error_rate:Q3,norm_cross_entropy:values,norm_cross_entropy,norm_cross_entropy:mean,norm_cross_entropy:median,norm_cross_entropy:std,norm_cross_entropy:Q1,norm_cross_entropy:Q3,ece:values,ece,ece:mean,ece:median,ece:std,ece:Q1,ece:Q3
sst2,512,1024,encoder_sst2,0,roberta_base,full_ft,no_calibration,test,[0.24065421 0.21028037 0.22429907 0.22429907],0.225 ± 0.011,0.22488317757009346,0.22429906542056077,0.010754645233365627,0.22079439252336452,0.22838785046728974,[0.42950117 0.3621172  0.43260006 0.45453091],0.420 ± 0.035,0.41968733683180015,0.4310506139836273,0.03461013138116664,0.41265517702514687,0.4380827737902806,[0.03962887 0.01168991 0.04194209 0.05463932],0.037 ± 0.016,0.03697504720305603,0.04078548014637799,0.015677046697873672,0.03264412786955568,0.04511639947987835
banking77,1,77,encoder_banking77,0,roberta_base,full_ft,no_calibration,test,[1.00198675 1.00596026 0.93543046 1.00397351],0.987 ± 0.030,0.9868377483443709,1.0029801324503311,0.02971323902565833,0.9853476821192053,1.0044701986754967,[1.0083919  1.00803332 0.98923214 1.0079987 ],1.003 ± 0.008,1.0034140150159971,1.0080160122158541,0.008189356965024016,1.0033070593636648,1.0081229678681864,[0.00095107 0.00454948 0.04445119 0.00386483],0.013 ± 0.018,0.013454139816966491,0.004207150911745693,0.017947085658704294,0.0031363880607045507,0.014524902668007633
agnews,16,64,encoder_agnews,0,roberta_base,full_ft,no_calibration,test,[0.2045614  0.34754386 0.25964912 0.17684211],0.247 ± 0.065,0.2471491228070175,0.23210526315789473,0.06517695861371238,0.19763157894736844,0.28162280701754383,[0.37928262 0.47642648 0.39951795 0.35454319],0.402 ± 0.046,0.402442560023373,0.38940028574695856,0.04558757106041244,0.37309776298548025,0.41874508278485134,[0.13007078 0.0483115  0.01968729 0.13415098],0.083 ± 0.050,0.08305513941235171,0.08919114099234347,0.050109532403422516,0.041155446979534396,0.13109083342516079
sst2,32,64,encoder_sst2,0,roberta_base,full_ft,no_calibration,test,[0.64018692 1.         0.29439252 0.51635514],0.613 ± 0.256,0.6127336448598131,0.5782710280373832,0.25561631291429276,0.46086448598130836,0.7301401869158879,[1.01610395 1.03129559 0.64674765 0.74431403],0.860 ± 0.168,0.8596153073883082,0.8802089935756414,0.1677571432197311,0.7199224392262584,1.019901861737691,[0.16069852 0.10302269 0.09752984 0.0542355 ],0.104 ± 0.038,0.10387163843222691,0.10027626809509918,0.03786152265880481,0.0867062580859845,0.1174416484413416
banking77,4,308,encoder_banking77,0,roberta_base,full_ft,no_calibration,test,[0.59139073 0.61655629 0.61490066 0.6589404 ],0.620 ± 0.024,0.6204470198675497,0.615728476821192,0.02435111922658557,0.609023178807947,0.6271523178807946,[0.7139567  0.74326896 0.72699916 0.73549821],0.730 ± 0.011,0.7299307568835142,0.7312486838962897,0.010870477400988078,0.7237385420368799,0.737440898742924,[0.32245183 0.28601632 0.28548216 0.23951019],0.283 ± 0.029,0.2833651239936015,0.28574923629840043,0.029421661779306652,0.27398916468468326,0.29512519560731865
agnews,4,16,encoder_agnews,0,roberta_base,full_ft,no_calibration,test,[0.68578947 0.80824561 0.74526316 1.        ],0.810 ± 0.118,0.8098245614035088,0.7767543859649122,0.11802761152450356,0.7303947368421053,0.8561842105263158,[0.95777712 0.9014922  0.96820487 0.99929527],0.957 ± 0.035,0.9566923649714525,0.9629909956640179,0.03534041537150948,0.9437058893630824,0.975977471272388,[0.10864678 0.14706801 0.08780353 0.0230918 ],0.092 ± 0.045,0.09165252906651856,0.09822515304708326,0.04493069245513575,0.07162559411998298,0.11825208799361885
banking77,64,4928,encoder_banking77,0,roberta_base,full_ft,no_calibration,test,[0.09304636 0.08807947 0.09072848],0.091 ± 0.002,0.09061810154525386,0.09072847682119205,0.0020292247583719894,0.08940397350993377,0.09188741721854304,[0.09397317 0.08721058 0.09216873],0.091 ± 0.003,0.09111749731448289,0.09216873383020988,0.0028591351783526908,0.08968965883871233,0.09307095404811692,[0.01476173 0.02183957 0.04286476],0.026 ± 0.012,0.026488687800080412,0.021839574051803853,0.011934704631694227,0.018300651966378423,0.03235216675964413
dbpedia,128,1792,encoder_dbpedia,0,roberta_base,full_ft,no_calibration,test,[0.01945828 0.01525529],0.017 ± 0.002,0.01735678704856787,0.01735678704856787,0.002101494396014943,0.016306039850560398,0.01840753424657534,[0.0300831  0.02583024],0.028 ± 0.002,0.027956670828200546,0.027956670828200546,0.002126428945501857,0.026893456355449617,0.029019885300951474,[0.00765543 0.00480665],0.006 ± 0.001,0.00623103823634844,0.00623103823634844,0.0014243898542781368,0.005518843309209372,0.006943233163487508
agnews,256,1024,encoder_agnews,0,roberta_base,full_ft,no_calibration,test,[0.13877193 0.13596491 0.14403509 0.13666667],0.139 ± 0.003,0.13885964912280702,0.13771929824561402,0.0031615475949017687,0.13649122807017544,0.14008771929824562,[0.23960292 0.23583084 0.24301786 0.23570611],0.239 ± 0.003,0.23853943335498554,0.23771688151312842,0.003022892210593112,0.23579966035837013,0.24045665450974382,[0.04156332 0.02313337 0.01604859 0.01425775],0.024 ± 0.011,0.023750757877935125,0.019590980515597475,0.010806356427744423,0.015600879320120479,0.02774085907341212
dbpedia,8,112,encoder_dbpedia,0,roberta_base,full_ft,no_calibration,test,[0.07238481 0.08281445 0.06942715 0.14912827],0.093 ± 0.033,0.09343866749688667,0.07759962640099627,0.03253468880600608,0.07164539227895393,0.09939290161892901,[0.11533396 0.1141006  0.10668948 0.16984459],0.126 ± 0.025,0.1264921536927831,0.11471727593561878,0.025246958778381533,0.11224781509985139,0.12896161452855048,[0.09331044 0.06680737 0.06774414 0.06326145],0.073 ± 0.012,0.07278085212023397,0.06727575885865553,0.011970108539255349,0.06592089292119865,0.07413571805769086
dbpedia,2,28,encoder_dbpedia,0,roberta_base,full_ft,no_calibration,test,[0.44364882 0.52054795 0.5867061  0.4497198 ],0.500 ± 0.058,0.5001556662515566,0.4851338729763387,0.05840296126510413,0.4482020547945205,0.5370874844333748,[0.63880001 0.6737414  0.72324296 0.60035348],0.659 ± 0.045,0.6590344616772359,0.6562707016642121,0.045254600426324065,0.6291883757443554,0.6861167875970927,[0.11075074 0.06443254 0.03192525 0.14865601],0.089 ± 0.044,0.08894113366859413,0.08759163732312865,0.04442129720923378,0.056305715671859644,0.12022705531986314
sst2,8,16,encoder_sst2,0,roberta_base,full_ft,no_calibration,test,[0.81775701 1.03738318 0.95560748 1.        ],0.953 ± 0.083,0.9526869158878504,0.977803738317757,0.08310624829950977,0.9211448598130841,1.0093457943925233,[0.99926405 1.01283219 0.98387658 1.00469426],1.000 ± 0.011,1.000166767407992,1.0019791517278778,0.010572326715752076,0.99541717838921,1.0067287407466599,[0.08187525 0.10906492 0.10350664 0.04094606],0.084 ± 0.027,0.08384821813328332,0.09269094732858824,0.026771365155401256,0.07164295302396428,0.10489621243790727
