dataset,size,num_samples,prompt,n_shots,model,base_method,cal_method,split,norm_error_rate:values,norm_error_rate,norm_error_rate:mean,norm_error_rate:median,norm_error_rate:std,norm_error_rate:Q1,norm_error_rate:Q3,norm_cross_entropy:values,norm_cross_entropy,norm_cross_entropy:mean,norm_cross_entropy:median,norm_cross_entropy:std,norm_cross_entropy:Q1,norm_cross_entropy:Q3,ece:values,ece,ece:mean,ece:median,ece:std,ece:Q1,ece:Q3
20newsgroups,4,80,basic_20newsgroups_0-shot_litgpt,0,lm_phi3,no_adaptation,no_calibration,test,[0.54913781 0.54913781 0.54913781 0.54913781 0.54913781],0.549 ± 0.000,0.5491378101780457,0.5491378101780457,0.0,0.5491378101780457,0.5491378101780457,[0.84066408 0.84066408 0.84066408 0.84066408 0.84066408],0.841 ± 0.000,0.8406640839865143,0.8406640839865143,0.0,0.8406640839865143,0.8406640839865143,[0.25586362 0.25586362 0.25586362 0.25586362 0.25586362],0.256 ± 0.000,0.25586362123941303,0.25586362123941303,0.0,0.25586362123941303,0.25586362123941303
dbpedia,128,1792,basic_dbpedia_0-shot_litgpt,0,lm_phi3,lora,affine_scalar_train_on_val,test,[0.05417186 0.0143213  0.01852428 0.02241594 0.01759029],0.025 ± 0.015,0.025404732254047324,0.01852428393524284,0.014613206156792301,0.017590286425902865,0.0224159402241594,[0.06322919 0.0215763  0.02718837 0.03013247 0.02335914],0.033 ± 0.015,0.03309709329806905,0.027188369633281362,0.015357093030626406,0.023359136117610684,0.03013247479925868,[0.01855384 0.00339827 0.00543531 0.00828881 0.00253393],0.008 ± 0.006,0.0076420300484777185,0.005435306513170264,0.005804442276578386,0.003398268598120346,0.008288811151418404
dbpedia,128,1792,basic_dbpedia_0-shot_litgpt,0,lm_phi3,lora,no_calibration,test,[0.29265255 0.01883562 0.02319427 0.02459527 0.01587796],0.075 ± 0.109,0.07503113325031133,0.023194271481942717,0.10885490651448192,0.018835616438356167,0.02459526774595268,[0.51687912 0.02640518 0.03222003 0.03471832 0.02493242],0.127 ± 0.195,0.12703101393790864,0.03222002862304062,0.19495742214457862,0.026405177710100144,0.034718322782167625,[0.08573314 0.00588034 0.00440158 0.01797326 0.00318043],0.023 ± 0.032,0.023433751873344753,0.005880340862989986,0.03159611928437514,0.0044015817553068,0.017973264794779422
dbpedia,128,1792,basic_dbpedia_0-shot_litgpt,0,lm_phi3,no_adaptation,affine_scalar,test,[0.15410959 0.15551059 0.15846824 0.15566625 0.15831258],0.156 ± 0.002,0.1564134495641345,0.1556662515566625,0.0017035322565758996,0.15551058530510586,0.1583125778331258,[0.17856819 0.18193558 0.1798507  0.17830231 0.17998495],0.180 ± 0.001,0.17972834453382228,0.17985069998854333,0.0012909109794603467,0.17856818519503206,0.17998494567206072,[0.01404469 0.01475014 0.01199537 0.01005276 0.01852186],0.014 ± 0.003,0.013872963395918403,0.014044687343014676,0.002847117036323314,0.011995374631564183,0.014750135033284843
dbpedia,128,1792,basic_dbpedia_0-shot_litgpt,0,lm_phi3,no_adaptation,no_calibration,test,[0.36690535 0.36690535 0.36690535 0.36690535 0.36690535],0.367 ± 0.000,0.3669053549190535,0.3669053549190535,0.0,0.3669053549190535,0.3669053549190535,[1.07046358 1.07046358 1.07046358 1.07046358 1.07046358],1.070 ± 0.000,1.0704635800975657,1.0704635800975657,0.0,1.0704635800975657,1.0704635800975657,[0.11713535 0.11713535 0.11713535 0.11713535 0.11713535],0.117 ± 0.000,0.11713534649746857,0.11713534649746857,0.0,0.11713534649746857,0.11713534649746857
dbpedia,128,1792,basic_dbpedia_0-shot_litgpt,0,lm_phi3,no_adaptation,bias_only,test,[0.15551059 0.15644458 0.15753425 0.15691158 0.15831258],0.157 ± 0.001,0.15694271481942715,0.1569115815691158,0.0009514761388503197,0.15644458281444584,0.15753424657534246,[0.18135667 0.18411596 0.18218874 0.18097977 0.18175539],0.182 ± 0.001,0.1820793079130983,0.18175538853956688,0.0010950833053263672,0.18135667144677417,0.18218874377703864,[0.03644964 0.036078   0.036249   0.033942   0.03357135],0.035 ± 0.001,0.03525799702151319,0.03607800185074433,0.001237023933701555,0.03394199836959372,0.03624899965388311
dbpedia,128,1792,basic_dbpedia_0-shot_litgpt,0,lm_phi3,no_adaptation,temp_scaling,test,[0.36690535 0.36690535 0.36690535 0.36690535 0.36690535],0.367 ± 0.000,0.3669053549190535,0.3669053549190535,0.0,0.3669053549190535,0.3669053549190535,[0.68823397 0.68904953 0.68821074 0.68836465 0.68820114],0.688 ± 0.000,0.6884120061057049,0.688233972798908,0.00032414622330213414,0.6882107392001038,0.6883646491323273,[0.2537895  0.23366148 0.26153609 0.24851471 0.259126  ],0.251 ± 0.010,0.2513255545962868,0.25378949926072014,0.009910535019471232,0.24851470546100182,0.2591260002829718
banking77,64,4928,basic_banking77_0-shot_litgpt,0,lm_phi3,lora,affine_scalar_train_on_val,test,[0.12682119 0.11423841 0.11953642 0.11887417 0.11986755],0.120 ± 0.004,0.11986754966887417,0.1195364238410596,0.004028319556488888,0.11887417218543045,0.11986754966887417,[0.09910465 0.09537352 0.10414981 0.09713734 0.09917177],0.099 ± 0.003,0.09898741805271517,0.09910464701882474,0.0029387456193144456,0.09713733756017986,0.09917177168368292,[0.0247733  0.020426   0.0224907  0.02124541 0.01549002],0.021 ± 0.003,0.020885085537218163,0.02124541144022586,0.003070617260472683,0.020426000152730314,0.02249069680068283
banking77,64,4928,basic_banking77_0-shot_litgpt,0,lm_phi3,lora,no_calibration,test,[0.14172185 0.13211921 0.14668874 0.13245033 0.14271523],0.139 ± 0.006,0.1391390728476821,0.14172185430463574,0.005839092038452221,0.1324503311258278,0.14271523178807946,[0.11473908 0.1114704  0.124393   0.11654478 0.11521931],0.116 ± 0.004,0.11647331199196606,0.11521930668904636,0.004297342935495748,0.11473907767132309,0.11654477853980981,[0.01892639 0.01722952 0.03053975 0.02228816 0.01959282],0.022 ± 0.005,0.02171532786766924,0.019592820954145856,0.004703282950272795,0.01892638702700927,0.022288163962238254
banking77,64,4928,basic_banking77_0-shot_litgpt,0,lm_phi3,no_adaptation,affine_scalar,test,[0.3486755  0.34801325 0.34503311 0.34139073 0.34768212],0.346 ± 0.003,0.34615894039735096,0.34768211920529796,0.00268681626160275,0.3450331125827814,0.34801324503311254,[0.29312948 0.29252811 0.29293032 0.29371595 0.29217933],0.293 ± 0.001,0.2928966402302708,0.2929303221895678,0.0005247803217648433,0.2925281097159901,0.29312948254022947,[0.02068814 0.01566164 0.02143453 0.02792684 0.0355812 ],0.024 ± 0.007,0.024258470913344377,0.02143452621720445,0.006874426607418914,0.020688139905664978,0.02792684405728763
