dataset,size,num_samples,prompt,n_shots,model,base_method,cal_method,split,norm_error_rate:values,norm_error_rate,norm_error_rate:mean,norm_error_rate:median,norm_error_rate:std,norm_error_rate:Q1,norm_error_rate:Q3,norm_cross_entropy:values,norm_cross_entropy,norm_cross_entropy:mean,norm_cross_entropy:median,norm_cross_entropy:std,norm_cross_entropy:Q1,norm_cross_entropy:Q3,ece:values,ece,ece:mean,ece:median,ece:std,ece:Q1,ece:Q3
20newsgroups,4,80,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,lora,affine_scalar_train_on_val,test,[0.56890509 0.53091266 0.5063788  0.53595962 0.51745409],0.532 ± 0.021,0.5319220524323567,0.5309126594700687,0.021198327739105943,0.5174540866395626,0.5359596242815086,[0.68354465 0.58244067 0.5375594  0.5400833  0.51987536],0.573 ± 0.059,0.5727006728080185,0.5400832962556853,0.05911103153955916,0.5375593958586664,0.5824406689855585,[0.17345483 0.05657601 0.09023537 0.05474626 0.04707201],0.084 ± 0.047,0.08441689574646746,0.056576007760306,0.04692911589132347,0.05474625792892389,0.09023537356674027
20newsgroups,4,80,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,lora,no_calibration,test,[0.61629048 0.54338988 0.53918407 0.57030702 0.52474415],0.559 ± 0.032,0.5587831207065751,0.5433898780316838,0.03230982234400059,0.5391840740221505,0.5703070236926959,[0.9728483  0.78688041 0.69795795 0.86215047 0.65539673],0.795 ± 0.114,0.7950467722393427,0.7868804104622587,0.11411516571150601,0.6979579458109867,0.8621504732655318,[0.34825999 0.2180155  0.21973945 0.26886575 0.17736966],0.246 ± 0.059,0.24645007145709624,0.21973945074340276,0.05858635846182811,0.21801550343990056,0.26886575050536976
20newsgroups,4,80,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar,test,[0.50063087 0.44595542 0.49193888 0.4526847  0.46095612],0.470 ± 0.022,0.4704331978129819,0.4609561194448339,0.021809994578315745,0.452684704892752,0.4919388756483948,[0.51122485 0.47728779 0.52551545 0.47551528 0.48686435],0.495 ± 0.020,0.49528154596948415,0.4868643545674118,0.01976667626903727,0.47728779037501773,0.5112248497671658,[0.04847486 0.03334423 0.0685935  0.03038985 0.06517637],0.049 ± 0.016,0.0491957612109222,0.04847486438915573,0.01572962081818212,0.0333442262433071,0.065176365437115
20newsgroups,4,80,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,no_calibration,test,[0.60479462 0.60479462 0.60409365 0.60479462 0.60409365],0.605 ± 0.000,0.6045142296368989,0.6047946165708677,0.00034340245938354247,0.6040936492359457,0.6047946165708677,[0.83278103 0.83278103 0.83271973 0.83278103 0.83271973],0.833 ± 0.000,0.8327565097757059,0.8327810318217862,3.0033250172984093e-05,0.8327197267065852,0.8327810318217862,[0.24291227 0.24291227 0.24250646 0.24291227 0.24250646],0.243 ± 0.000,0.24274994387668108,0.2429122661214564,0.00019880333680132332,0.24250646050951813,0.2429122661214564
20newsgroups,4,80,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,bias_only,test,[0.51058461 0.44721716 0.48801346 0.46824618 0.4636198 ],0.476 ± 0.022,0.47553624001121547,0.46824617972802474,0.021822859292309302,0.4636197953175382,0.4880134585728305,[0.52933541 0.49854186 0.53811496 0.50208696 0.49596515],0.513 ± 0.017,0.5128088679544549,0.5020869555325541,0.01741116053127524,0.4985418617706526,0.5293354129619666,[0.11589616 0.06705115 0.1131205  0.07319623 0.0598418 ],0.086 ± 0.024,0.08582116747325799,0.07319622932046754,0.023817593294710816,0.06705114659678608,0.11312049967960636
20newsgroups,4,80,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,temp_scaling,test,[0.60479462 0.60479462 0.60409365 0.60479462 0.60409365],0.605 ± 0.000,0.6045142296368989,0.6047946165708677,0.00034340245938354247,0.6040936492359457,0.6047946165708677,[0.67796198 0.67750611 0.67896684 0.67960107 0.67758064],0.678 ± 0.001,0.67832332851284,0.6779619819817644,0.0008242263300522217,0.6775806376415808,0.6789668433464208,[0.03809941 0.0396835  0.03630579 0.04012353 0.06828997],0.045 ± 0.012,0.044500439170168236,0.03968349808578715,0.011970191759492292,0.03809941477470679,0.04012352528465416
dbpedia,128,1792,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,lora,affine_scalar_train_on_val,test,[0.01712329 0.01463263 0.01463263 0.01774595 0.01712329],0.016 ± 0.001,0.016251556662515567,0.01712328767123288,0.0013412614712663775,0.014632627646326276,0.01712328767123288,[0.02278915 0.03301657 0.02037036 0.02323356 0.02392472],0.025 ± 0.004,0.02466687288131752,0.023233564396541728,0.004343003004912534,0.02278915220031745,0.02392472184780354,[0.00556363 0.00874669 0.00397881 0.00649139 0.00332298],0.006 ± 0.002,0.0056206998602011515,0.005563632488648885,0.0019239790263411087,0.00397881325607189,0.00649139016672721
dbpedia,128,1792,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,lora,no_calibration,test,[0.01759029 0.02039228 0.01494396 0.01790162 0.02054795],0.018 ± 0.002,0.018275217932752177,0.017901618929016188,0.0020665537702709955,0.017590286425902865,0.02039227895392279,[0.02455319 0.02773231 0.02155011 0.02494623 0.02707123],0.025 ± 0.002,0.025170613344256625,0.024946225911601186,0.0021778069420321034,0.02455319098368277,0.027071230288208743,[0.00178863 0.00224449 0.00348207 0.00926216 0.00745032],0.005 ± 0.003,0.004845533293173689,0.0034820679922517948,0.0029752531182587307,0.002244487361531668,0.007450318518772574
dbpedia,128,1792,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar,test,[0.14367995 0.14788294 0.14508095 0.14383562 0.14259029],0.145 ± 0.002,0.1446139476961395,0.14383561643835618,0.001815364848955559,0.14367995018679952,0.14508094645080946,[0.15872185 0.16212786 0.15955898 0.15877564 0.1621523 ],0.160 ± 0.002,0.16026732650569128,0.15955898147364014,0.0015575659717511105,0.15877564483083353,0.16212785544017694,[0.02121635 0.02596647 0.01442842 0.01222242 0.03467475],0.022 ± 0.008,0.021701684196507986,0.021216350178350014,0.008117650927992647,0.014428419023644497,0.02596647245506771
dbpedia,128,1792,basic_dbpedia_0-shot_litgpt,0,lm_tinyllama,no_adaptation,no_calibration,test,[0.40068493 0.40068493 0.40068493 0.4008406  0.4008406 ],0.401 ± 0.000,0.400747198007472,0.4006849315068493,7.626057729713764e-05,0.4006849315068493,0.400840597758406,[1.36609904 1.36609904 1.36609904 1.36678168 1.36678168],1.366 ± 0.000,1.3663720964555908,1.3660990379522673,0.00033442700153541225,1.3660990379522673,1.3667816842105762,[0.0906789  0.0906789  0.0906789  0.09106288 0.09106288],0.091 ± 0.000,0.09083249083896586,0.09067889710862874,0.0001881131335082842,0.09067889710862874,0.09106288143447153
